Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713728638.0498338;2.9384704848993533;3.40;2.3;16.0;1.1;Image Captioning + RC
1713728638.0585687;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.1148982;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.1199007;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.135919;2.9384704848993533;4.30;2.3;16.0;1.1;Image Captioning + RC
1713728638.151438;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.1674526;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.184498;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.2002037;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.2147615;2.9384704848993533;4.30;2.3;16.0;1.1;Image Captioning + RC
1713728638.2302966;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.2468276;2.9384704848993533;5.30;2.3;16.0;1.1;Image Captioning + RC
1713728638.2618508;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.2776082;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.2938309;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.30884;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.3256807;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.3407004;2.9384704848993533;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.3988602;2.8742594830012065;2.50;2.3;16.0;1.1;Image Captioning + RC
1713728638.4050205;2.8742594830012065;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.4715185;2.8742594830012065;3.30;2.3;12.0;1.1;Image Captioning + RC
1713728638.483534;2.8742594830012065;3.20;2.3;12.0;1.1;Image Captioning + RC
1713728638.4984;2.8742594830012065;5.60;2.3;12.0;1.1;Image Captioning + RC
1713728638.5144382;2.8742594830012065;0.00;2.3;12.0;1.1;Image Captioning + RC
1713728638.5284493;2.8742594830012065;0.00;2.3;12.0;1.1;Image Captioning + RC
1713728638.5455027;2.8742594830012065;0.00;2.3;12.0;1.1;Image Captioning + RC
1713728638.5615323;2.8742594830012065;4.20;2.3;12.0;1.1;Image Captioning + RC
1713728638.5776427;2.8742594830012065;0.00;2.3;12.0;1.1;Image Captioning + RC
1713728638.5926864;2.8742594830012065;3.80;2.3;12.0;1.1;Image Captioning + RC
1713728638.6093924;2.8742594830012065;0.00;2.3;12.0;1.1;Image Captioning + RC
1713728638.632013;2.8742594830012065;4.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.64052;2.8742594830012065;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.6558537;2.8742594830012065;5.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.6723955;2.8742594830012065;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.6879187;2.8742594830012065;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.7035394;2.8742594830012065;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.756114;2.80055484592889;2.20;2.3;24.0;1.1;Image Captioning + RC
1713728638.7663288;2.80055484592889;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728638.8203092;2.80055484592889;1.70;2.3;24.0;1.1;Image Captioning + RC
1713728638.8318217;2.80055484592889;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.844835;2.80055484592889;6.20;2.3;16.0;1.1;Image Captioning + RC
1713728638.8598573;2.80055484592889;9.50;2.3;16.0;1.1;Image Captioning + RC
1713728638.8753915;2.80055484592889;6.70;2.3;16.0;1.1;Image Captioning + RC
1713728638.89194;2.80055484592889;4.30;2.3;16.0;1.1;Image Captioning + RC
